Country of Birth,Country of Residence,Film Category,Duration,Production Year,Connection With Kiarostami,Inspired By Kiarostami,Created At,Rejected,First Listed,Final Listed,Email Sent,Gender,Age,duration_mm_ss,Inspired_By_Kiarostami_clean
Iran,Iran,Fiction,۲۰,2023,عناصر و نشانه های که به حیات کمک میکند برای نجات,در تصویر سازی بله,2024-03-21 07:59:02.679426+00:00,True,False,False,False,Male,,20:00,Yes
Iran,Iran,Fiction,15,2020,با احترام این نظر را به عهده شما می‌گذارم که بگویید، بعد از دیدن فیلم، تشکر,به شکل غیر مستقیم,2024-03-21 10:57:38.573231+00:00,True,False,False,False,Male,29.0,15:00,Other ways
Iran,Iran,Fiction,15 دقیقه,2024,کیارستمی در آثار  و دیدگاهش به بچه ها جایگاهی خاصی میدهد که این فیلم هم برگرفته از این دیدگاه کیارستمی است و مضنون اصلی این داستان بچه ای است که راه را برای عکاس گمشده نشان میدهد,خیر,2024-03-21 11:14:30.777030+00:00,True,False,False,False,Male,22.0,15:00,No
Iran,Iran,Fiction,15,2021,سیننای مستقل و نگاه بین الممللی در‌اثار و جهان شمول بودن,به شملی که بخوام مستقیم باشه خیر,2024-03-21 11:17:05.789151+00:00,True,False,False,False,Male,32.0,15:00,No
Iran,Iran,Fiction,19,2023,الهام گرفته از روابط انسانی شخصیت‌های کودکان فیلم های کیارستمی که امروز همان کودکان در جامعه مدرن باید از کلیشه ها عبور کنند.,به شکل غیر مستقیم,2024-03-21 11:24:29.586112+00:00,True,False,False,False,Male,29.0,19:00,Other ways
Iran,Iran,Fiction,00:01:40,2019,عدم توجه به نادیده های زنده ای که همیشه در پیش روی ما است و از سادگی بیش از حد آن همواره اسیر پیچیده گی های مرگ آوری می شویم و از زنده روحی ساده گی ها غافل.,نماد درخت که همزمان هم زندگی بخش دیگری ست و هم مستقل از جهان در جهت رشد خود بوده، همیشه پسِ ذهن خلق این جهان بوده.,2024-03-21 13:20:50.546793+00:00,True,False,False,False,Male,33.0,00:00,Other ways
Iran,Iran,Fiction,15,2024,"فیلم شیشَک بدلیل فضای کاملا فولکور بومی عشایری و روستایی و همچنین استفاده کاملا از نابازیگر و انسان های که بومی همان لوکیشن و در واقع زیسته ای آن نوع زندگی را دارند.
و همچنین بنظرم نوع نگاه مینمالی که در فیلم وجود دارد مرتبط به فیلم های استاد کیارستمی هست.",من به دلیل علاقه زیاد به آثار استاد کیارستمی و همچنین شخصیت ایشان و بخصوص نوع نگاهش به زندگی و سینما همیشه تحت تاثیر سینماش بودم و در کارهای که ساخته ام فکر کنم مشخصا الهام گرفته از آثار استاد در کارهایم باشد,2024-03-21 17:17:09.082084+00:00,True,False,False,False,Male,25.0,15:00,Yes
Iran,Iran,Fiction,۷ دقیقه,2022,تشک فیلم ساده و روانیست  در مورد قضاوت و در ژانر کودک و نوجوان ،که از لحاظ ساختار ،محتوی و ..به سینمای عباس کیارستمی نزدیک و در راستا اهداف سینمای مستقل و قصه گو به سبک کلاسیک تولید شده است,به شکل مستقیم خیر‌،اما فیلم تشک و تمام طرح و ایده هایی که برای تولید اماده دارم،همگی در فضای سینمای کودک و نوجوان و با تمی ساده و کلاسیک نوشته شده است,2024-03-21 18:53:10.454659+00:00,True,False,False,False,Male,,07:00,No
Iran,Iran,Fiction,۱۸ دقیقه,2024,اینکه وقتی پسر یک پدر اشتباهی انجام می دهد مجبور آیت آن را درست کند حتی اگر ناخواسته باشد چون اجتماع بیرون از آن روستا به شکل بدتری است.,فیلم باد ما را خواهد برد و خانه دوست کجاست؟,2024-03-21 21:53:58.500527+00:00,True,False,False,False,Male,22.0,18:00,No
Iran,Iran,Fiction,۲۰,2022,رئالیسم ( واقع گرایی),خیر,2024-03-21 22:16:21.149558+00:00,True,False,False,False,Male,,20:00,No
Iran,Iran,Fiction,۱۱ دقیقه,2021,نگاهی ساده و نیمه مستند به تفکر بچه‌ها و نگاهشون به مسائل مختلف خانواده و جامعه,تحت تاثیر فیلم مشق شب و فیلم ده که به معضلات کودکان و نگاهشون به اطراف قرار گرفتم مخصوصا کاراکتر بچه راننده در فیلم ده که شدیداً با مادرش که از پدر جدا شده مقابله کرده و عصیانگری می‌کند,2024-03-21 22:49:48.448908+00:00,True,False,False,False,Male,38.0,11:00,Yes
Iran,Iran,Fiction,۱۵,2022,هَناسه در روستای سرپل ذهاب روایت میشود و عشق واقعی را در این فیلم نسبت فرزند به مادرش را میبینیم،ساختار ساده اما پر از مفهوم،پر از عشق،فداکاری،مرگ و زندگی و‌امید هست که فکر میکنم کمی نزدیک باشد به آثار استاد کیارستمی,خیر,2024-03-22 07:40:05.067425+00:00,True,False,False,False,Male,31.0,15:00,No
Iran,Iran,Fiction,18,2023,فداکاری،تلاش،فقر،,خیر,2024-03-22 07:54:54.054278+00:00,True,False,False,False,Male,,18:00,No
Iran,Iran,Documentary,۵ دقیقه,2019,فضای مینیمال و روایت ساده در شکل گیری فیلم,نه / از آثار استاد الهام نگرفته,2024-03-22 08:09:57.648763+00:00,False,True,True,True,Male,,05:00,No
Iran,Iran,Fiction,8,2022,"مفهوم انسان و خانواده 
انسان هایی که درباره زندگی حرف میزنند و برای حفظ آن می کوشند","بیشترین الهام من از جهان شمولی کیارستمی هست خصوصا از فیلم کارگران مشغول کارند 
که ای کاش خودشان این فیلم را ساخته بودند 
هدفی واحد که یک جمع را درگیر کرده، به جنون می‌رسد
سه نکته اصلی در مضمون اصلی کارهای کیارستمی هست، بی پناهی شخصیت در ابتدای کار، در اواسط جستجو گر و در انتها جان فدا خواهد شد که من این مضمون را در فیلم خودم استفاده کردم.",2024-03-22 08:56:58.961750+00:00,True,False,False,False,Male,,08:00,Yes
Iran,Iran,Fiction,14 min,2019,"This movie is about children, their mental and inner world and their relationship with adult society. Kiarostami's cinema, especially the films he made in his early period, has also dealt a lot with this concept and As a member of ""Children and Adolescent Intellectual Development  Center"" and later as a teacher, I was strongly influenced by Kiarostami's view of children.Also, Kiarostami cinema taught me to pay attention to graphics and composition in film frames and at the same time to find honesty in the frame, and I tried to pay attention to such an issue in my first film. Of course, this effort continues in the path of my filmmaking.","I think there is no independent Iranian filmmaker who is not influenced by Kiarostami's cinema and at least one of his works. I am not exempt from this rule. I am fascinated by movies like ""Taste of Cherry"" and ""Close-up"" and I watched them many times.
Of course, as a teacher, every year I used to show the movie ""Where Is the Friend's House?"", ""Homework"" and Kiarostami's short films for my students, and watching these films thousands of times with the children, introduced me to magic of Kiarostami's cinema.",2024-03-22 09:18:23.724170+00:00,True,False,False,False,Female,,14:00,No
Iran,Iran,Fiction,12:24,2023,هیچ ارتباطی نیست بیشتر من علاقه مند به ایشونم (:,بله ولی نه مستقیم بیشتر به خاطر علاقه ای که به ایشون هست نه تنها من شاید خیلی از فیلمساز های دنیا تحت تاثیر باشن,2024-03-22 09:27:07.782588+00:00,True,False,False,False,Male,30.0,12:24,Yes
Iran,Iran,Fiction,۱۸,2021,"سینما مستقل در هر دسته و ژانر یک پل ارتباطی است، بین همه آثار هنری. 
به همین دلیل تنها ارتباط فیلم ما با آثار استاد کیارستمی از جنبه مستقل بودن آن می باشد. 
(این فیلم با کمک بسیار ناچیزی از طرف انجمن (مبلغ سی میلیون تومان) شروع و اما بعد از ساخت با این فیلم مخالفت شد، در حالی که هزینه های ساخت به صورت کاملا شخصی پرداخت شده بود.)",خیر,2024-03-22 09:40:41.913477+00:00,True,False,False,False,Male,,18:00,No
Iran,Iran,Fiction,9,2024,"فیلم کوتاه ""باخ"" اولین فیلم کوتاه حرفه‌ای من است و در درجه اول قصدم ادای دین به کیارستمی بوده است. در نهایت به لحاظ لوکیشن و جهان بصری فیلم که در یک روستا روایت می‌شود و از همه مهم‌تر قصه‌ی ساده‌‌ی آن را می‌توان به آثار کیارستمی ارتباط داد.","در انتخاب قصه، به طور مستقیم خیر.

اما در اجرا می‌توان به مجموعه‌ای از فیلم‌های کیارستمی اشاره کرد که رد پای ""باد ما را خواهد برد"" ، ""طعم گیلاس"" و ""خانه‌ی دوست کجاست؟""  بیش‌تر حس می‌شود.",2024-03-22 09:49:00.764831+00:00,False,True,True,True,Male,,09:00,Yes
Iran,Iran,Fiction,16,2023,فیلم زنده خوار فیلمی برای نمایان کردن ذات تمام افراد داخل آن است و هیچ فردی سیاه و یا سفید و به وجه رفتار های انسانی آنها در شرایط و چگونگی برخورد آنها میپردازد . برای من در این فیلم یعی بر این بود رفتارهای انسانی را مانند آثار استاد کیارستمی همانقدر واقعی و بدور از هرگونه اضافه گویی نشان دهم,خیر,2024-03-22 10:21:20.962078+00:00,True,False,False,False,Male,,16:00,No
Iran,Iran,Fiction,۱۰ دقیقه,2022,ارتباطی وجود نداره جز تجربی کار کردن و مشق هنر کردن,خیر,2024-03-22 10:24:16.486716+00:00,True,False,False,False,Female,37.0,10:00,No
Iran,Iran,Fiction,24,2013,"طبیعت ( درخت و گندم زار )
روستا
مرگ و زندگی  
فضای شاعرانگی","درود بر شما 
از فیلم های طعم گیلاس ، زندگی و دیگر هیچ ، باد ما را خواهد برد .",2024-03-22 10:31:06.115322+00:00,True,False,False,False,Male,,24:00,Other ways
Iran,Iran,Fiction,15,2023,"تصویر سازی جهان بینی جامعه در کالبد یک کاراکتر.
روایت کلاسیک شخصیت‌ها.
شخصی سازی معضلات جامعه برای یک اثر.",قاب بندی و نماهای روستایی آثار استاد. (خانه دوست کجاست),2024-03-22 10:50:08.736365+00:00,True,False,False,False,Male,34.0,15:00,No
Iran,Iran,Fiction,15,2022,"The distinct feature of my film compared to Mr. Kiarostami's cinematic techniques are the story-writing and cinematography. I use longer takes and longer scenes to build up the atmosphere of the film. There is a more intense focus on the details, and I try to bring out the nuances of the characters through the way they move and interact with the environment.","It cannot be precisely said, but Mr. Kiarostami's works have always been a source of inspiration and influence for me in filmmaking and screenwriting. His cinema has always been a guiding force for me, inspiring me to approach story-writing and cinematography in a more granular and detailed way. I have always been drawn to his thoughtful approach to framing and lighting, and the emphasis he puts on nuance and detail in his films has always been an inspiration.",2024-03-22 11:47:01.041323+00:00,True,False,False,False,Male,,15:00,No
Iran,Iran,Fiction,19,2023,"My film, like the cinema of Master Kiarostami, is looking for a narrative in the existence of humans and the inside of humans. And it shows cinematic naturalism",-,2024-03-22 11:50:15.467961+00:00,True,False,False,False,Male,,19:00,Other ways
Iran,Iran,Fiction,12,2024,"دیدگاه مینیمال بودن قصه و روایت.
بررسی معضلات خانواده در قیاس با جامعه.",فضا سازی و روایت خطی و روان از خانه دوست کجاست.,2024-03-22 13:05:08.632221+00:00,True,False,False,False,Male,34.0,12:00,No
Iran,Iran,Fiction,10,2020,این فیلم کوتاه کاملا متاثر و برگرفته از سبک هنری استاد کیارستمی می باشد,بله این اثر تحت تاثیر اثار استاد کیارستمی بوه است,2024-03-22 13:47:18.745453+00:00,False,True,True,True,Male,32.0,10:00,Yes
Iran,Iran,Fiction,14:53,2023,"در رابطه با مرگ و زندگی بودن فیلم
مینیمال بودن فیلم و مستقل بودن فیلم
لوکیشن ها
به طور کلی نزدیک بودن فرم فیلم و حتی محتوا به سینمای آقای (کیارستمی)","پاسخ بله است…
به طور کلی، آثار آقای (کیارستمی) 
مصاحبه های آقای (کیارستمی)
و امثالهم باعث شد ساخته بشه این فیلم و من به عنوان فیلمساز این جسارت را پیدا کنم.",2024-03-22 15:17:51.240989+00:00,True,False,False,False,Male,,14:53,Yes
